model,approach,allowed_interval_s,history,history_frames,actionable,actionable_rate,actionable_result,missed,too_late,too_early
llava,appod,5,H02,2,17,0.19767441860465115,17/86 (19.77%; 95% CI 12.72–29.40%),4,14,51
qwen,appfr,1,H02,2,5,0.05813953488372093,5/86 (5.81%; 95% CI 2.51–12.90%),19,8,54
qwen,appfr,2,H02,2,8,0.09302325581395349,8/86 (9.30%; 95% CI 4.79–17.30%),19,8,51
qwen,appfr,3,H02,2,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),19,8,48
qwen,appfr,4,H02,2,13,0.1511627906976744,13/86 (15.12%; 95% CI 9.05–24.16%),19,8,46
qwen,appfr,5,H02,2,15,0.1744186046511628,15/86 (17.44%; 95% CI 10.86–26.80%),19,8,44
qwen,appod,1,H08,8,8,0.09302325581395349,8/86 (9.30%; 95% CI 4.79–17.30%),7,13,58
qwen,appod,2,H02,2,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),6,12,57
qwen,appod,2,H04,4,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),5,14,56
qwen,appod,2,H10,10,11,0.12790697674418605,11/86 (12.79%; 95% CI 7.29–21.47%),9,11,55
qwen,appod,3,H02,2,15,0.1744186046511628,15/86 (17.44%; 95% CI 10.86–26.80%),6,12,53
qwen,appod,4,H02,2,16,0.18604651162790697,16/86 (18.60%; 95% CI 11.79–28.11%),6,12,52
qwen,appod,5,H02,2,17,0.19767441860465115,17/86 (19.77%; 95% CI 12.72–29.40%),6,12,51
qwen,appod,5,H10,10,17,0.19767441860465115,17/86 (19.77%; 95% CI 12.72–29.40%),9,11,49
