case_study,model,approach,allowed_interval_s,actionable_rate,too_early_rate,too_late_rate,missed_rate,warning_rate
crowdbot,internvl,appfr,1,0.0,0.8947368421052632,0.10526315789473684,0.0,1.0
crowdbot,internvl,appfr,2,0.0,0.8947368421052632,0.10526315789473684,0.0,1.0
crowdbot,internvl,appfr,3,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.0,1.0
crowdbot,internvl,appfr,4,0.10526315789473684,0.7894736842105263,0.10526315789473684,0.0,1.0
crowdbot,internvl,appfr,5,0.10526315789473684,0.7894736842105263,0.10526315789473684,0.0,1.0
crowdbot,internvl,appod,1,0.0,0.8947368421052632,0.10197368421052631,0.003289473684210526,0.9967105263157895
crowdbot,internvl,appod,2,0.0,0.8947368421052632,0.10197368421052631,0.003289473684210526,0.9967105263157895
crowdbot,internvl,appod,3,0.05921052631578947,0.8355263157894737,0.10197368421052631,0.003289473684210526,0.9967105263157895
crowdbot,internvl,appod,4,0.10526315789473684,0.7894736842105263,0.10197368421052631,0.003289473684210526,0.9967105263157895
crowdbot,internvl,appod,5,0.10526315789473684,0.7894736842105263,0.10197368421052631,0.003289473684210526,0.9967105263157895
crowdbot,llava,appfr,1,0.006578947368421052,0.819078947368421,0.05921052631578947,0.11513157894736842,0.8848684210526315
crowdbot,llava,appfr,2,0.01644736842105263,0.8092105263157895,0.05921052631578947,0.11513157894736842,0.8848684210526315
crowdbot,llava,appfr,3,0.029605263157894735,0.7960526315789473,0.05921052631578947,0.11513157894736842,0.8848684210526315
crowdbot,llava,appfr,4,0.039473684210526314,0.7861842105263158,0.05921052631578947,0.11513157894736842,0.8848684210526315
crowdbot,llava,appfr,5,0.039473684210526314,0.7861842105263158,0.05921052631578947,0.11513157894736842,0.8848684210526315
crowdbot,llava,appod,1,0.0,0.875,0.06907894736842105,0.05592105263157894,0.944078947368421
crowdbot,llava,appod,2,0.03289473684210526,0.8421052631578947,0.06907894736842105,0.05592105263157894,0.944078947368421
crowdbot,llava,appod,3,0.08223684210526315,0.7927631578947368,0.06907894736842105,0.05592105263157894,0.944078947368421
crowdbot,llava,appod,4,0.08552631578947367,0.7894736842105263,0.06907894736842105,0.05592105263157894,0.944078947368421
crowdbot,llava,appod,5,0.08552631578947367,0.7894736842105263,0.06907894736842105,0.05592105263157894,0.944078947368421
crowdbot,qwen,appfr,1,0.0,0.8947368421052632,0.08552631578947367,0.019736842105263157,0.9802631578947368
crowdbot,qwen,appfr,2,0.006578947368421052,0.8881578947368421,0.08552631578947367,0.019736842105263157,0.9802631578947368
crowdbot,qwen,appfr,3,0.05263157894736842,0.8421052631578947,0.08552631578947367,0.019736842105263157,0.9802631578947368
crowdbot,qwen,appfr,4,0.10526315789473684,0.7894736842105263,0.08552631578947367,0.019736842105263157,0.9802631578947368
crowdbot,qwen,appfr,5,0.10526315789473684,0.7894736842105263,0.08552631578947367,0.019736842105263157,0.9802631578947368
crowdbot,qwen,appod,1,0.0,0.8947368421052632,0.07236842105263158,0.03289473684210526,0.9671052631578947
crowdbot,qwen,appod,2,0.01644736842105263,0.8782894736842105,0.07236842105263158,0.03289473684210526,0.9671052631578947
crowdbot,qwen,appod,3,0.0625,0.8322368421052632,0.07236842105263158,0.03289473684210526,0.9671052631578947
crowdbot,qwen,appod,4,0.10526315789473684,0.7894736842105263,0.07236842105263158,0.03289473684210526,0.9671052631578947
crowdbot,qwen,appod,5,0.10526315789473684,0.7894736842105263,0.07236842105263158,0.03289473684210526,0.9671052631578947
huron,internvl,appfr,1,0.04336734693877551,0.7933673469387755,0.11479591836734694,0.04846938775510204,0.951530612244898
huron,internvl,appfr,2,0.11607142857142858,0.7206632653061225,0.11479591836734694,0.04846938775510204,0.951530612244898
huron,internvl,appfr,3,0.16964285714285715,0.6670918367346939,0.11479591836734694,0.04846938775510204,0.951530612244898
huron,internvl,appfr,4,0.16964285714285715,0.6670918367346939,0.11479591836734694,0.04846938775510204,0.951530612244898
huron,internvl,appfr,5,0.21301020408163265,0.6237244897959184,0.11479591836734694,0.04846938775510204,0.951530612244898
huron,internvl,appod,1,0.04081632653061224,0.798469387755102,0.11224489795918367,0.04846938775510204,0.951530612244898
huron,internvl,appod,2,0.10714285714285714,0.7321428571428571,0.11224489795918367,0.04846938775510204,0.951530612244898
