model,approach,model_approach,A1_actionable_mean_count,A1_actionable_mean_rate,A1_too_early_mean_count,A1_too_early_mean_rate,A2_actionable_mean_count,A2_actionable_mean_rate,A2_too_early_mean_count,A2_too_early_mean_rate,A3_actionable_mean_count,A3_actionable_mean_rate,A3_too_early_mean_count,A3_too_early_mean_rate,A4_actionable_mean_count,A4_actionable_mean_rate,A4_too_early_mean_count,A4_too_early_mean_rate,A5_actionable_mean_count,A5_actionable_mean_rate,A5_too_early_mean_count,A5_too_early_mean_rate,too_late_mean_count,too_late_mean_rate,missed_mean_count,missed_mean_rate,warning_mean_count,warning_mean_rate
qwen,appfr,Qwen AppFr,2.6875,0.03125,39.3125,0.4571220930232558,4.125,0.04796511627906977,37.875,0.44040697674418605,6.5,0.0755813953488372,35.5,0.4127906976744186,7.875,0.09156976744186046,34.125,0.3968023255813954,8.5,0.09883720930232559,33.5,0.38953488372093026,8.0,0.09302325581395349,36.0,0.41860465116279066,50.0,0.5813953488372092
qwen,appod,Qwen AppOd,5.125,0.05959302325581395,55.625,0.6468023255813954,7.6875,0.08938953488372092,53.0625,0.6170058139534884,10.625,0.12354651162790697,50.125,0.5828488372093023,13.1875,0.15334302325581395,47.5625,0.5530523255813953,13.875,0.1613372093023256,46.875,0.5450581395348838,10.9375,0.12718023255813954,14.3125,0.16642441860465115,71.6875,0.8335755813953488
internvl,appfr,InternVL AppFr,5.75,0.06686046511627908,61.6875,0.7172965116279069,9.3125,0.10828488372093023,58.125,0.6758720930232558,12.9375,0.1504360465116279,54.5,0.6337209302325582,14.875,0.17296511627906974,52.5625,0.6111918604651163,17.0625,0.1984011627906977,50.375,0.5857558139534884,14.8125,0.17223837209302328,3.75,0.0436046511627907,82.25,0.9563953488372092
internvl,appod,InternVL AppOd,5.75,0.06686046511627906,62.125,0.7223837209302325,9.0,0.10465116279069767,58.875,0.684593023255814,13.25,0.15406976744186046,54.625,0.6351744186046512,14.9375,0.17369186046511625,52.9375,0.6155523255813953,17.0625,0.1984011627906977,50.8125,0.590843023255814,14.0,0.16279069767441862,4.125,0.04796511627906977,81.875,0.9520348837209303
llava,appfr,LLaVA AppFr,2.875,0.03343023255813954,58.6875,0.6824127906976745,6.1875,0.07194767441860464,55.375,0.6438953488372093,9.25,0.10755813953488372,52.3125,0.6082848837209303,10.9375,0.12718023255813954,50.625,0.5886627906976745,12.5,0.14534883720930233,49.0625,0.5704941860465116,10.3125,0.11991279069767442,14.125,0.16424418604651164,71.875,0.8357558139534884
llava,appod,LLaVA AppOd,2.8125,0.03270348837209302,60.125,0.6991279069767442,6.5625,0.07630813953488372,56.375,0.6555232558139534,10.875,0.12645348837209303,52.0625,0.6053779069767442,11.5,0.13372093023255813,51.4375,0.5981104651162791,12.8125,0.14898255813953487,50.125,0.5828488372093024,9.4375,0.10973837209302326,13.625,0.15843023255813954,72.375,0.8415697674418605
