metric,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
accuracy,qwen,internvl,800,22558.5,3.453830185053531e-98,0.14988974556965431,0.8588329161451814,1.0361490555160594e-97,True,qwen
accuracy,qwen,llava,800,31298.5,2.567438501441943e-86,0.05899143672692675,0.804139549436796,5.134877002883886e-86,True,qwen
accuracy,internvl,llava,800,65055.5,2.5006234952510395e-47,-0.08453064304386154,-0.5908497718574982,2.5006234952510395e-47,True,llava
macro_f1,qwen,internvl,800,50284.0,2.0060593055570611e-63,0.05776986445670104,0.6861173533083645,6.018177916671184e-63,True,qwen
macro_f1,qwen,llava,800,114754.0,3.6282595005902695e-12,0.00889684067338442,0.2836828963795256,3.6282595005902695e-12,True,qwen
macro_f1,internvl,llava,800,67589.0,1.512387442912728e-45,-0.040324521467131724,-0.5780961298377029,3.024774885825456e-45,True,llava
