approach,history,history_frames,metric,friedman_holm_p,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
appod,H04,4,accuracy,0.0014346235202186137,qwen,llava,25,106.0,0.13364005088806152,0.025572005383580065,0.3476923076923077,0.13364005088806152,False,No difference
appod,H04,4,accuracy,0.0014346235202186137,internvl,llava,25,81.0,0.02747941017150879,-0.04385964912280704,-0.5015384615384615,0.05495882034301758,False,No difference
appod,H04,4,macro_f1,0.009453334795333413,qwen,internvl,25,31.0,0.0001398921012878418,0.04200246694473031,0.8092307692307692,0.0004196763038635254,True,qwen
appod,H04,4,macro_f1,0.009453334795333413,qwen,llava,25,90.0,0.05157625675201416,0.017296165788229234,0.4461538461538462,0.10315251350402832,False,No difference
appod,H04,4,macro_f1,0.009453334795333413,internvl,llava,25,100.0,0.09573346376419067,-0.01562354638359753,-0.38461538461538464,0.10315251350402832,False,No difference
appod,H06,6,accuracy,1.8938358653926486e-06,qwen,internvl,25,15.0,8.165836334228516e-06,0.2108721624850658,0.9076923076923077,2.4497509002685547e-05,True,qwen
appod,H06,6,accuracy,1.8938358653926486e-06,qwen,llava,25,27.0,0.0004409382679493639,0.04281636536631783,0.82,0.0004409382679493639,True,qwen
appod,H06,6,accuracy,1.8938358653926486e-06,internvl,llava,25,31.0,0.0001398921012878418,-0.12474645030425963,-0.8092307692307692,0.0002797842025756836,True,llava
appod,H06,6,macro_f1,1.384742479829413e-05,qwen,internvl,25,6.0,8.344650268554688e-07,0.08959867088958517,0.963076923076923,2.5033950805664062e-06,True,qwen
appod,H06,6,macro_f1,1.384742479829413e-05,qwen,llava,25,61.0,0.0050716400146484375,0.0293015985248386,0.6246153846153846,0.0050716400146484375,True,qwen
appod,H06,6,macro_f1,1.384742479829413e-05,internvl,llava,25,15.0,8.165836334228516e-06,-0.07349253746568712,-0.9076923076923077,1.633167266845703e-05,True,llava
appod,H08,8,accuracy,8.033021704189674e-06,qwen,internvl,25,15.0,8.165836334228516e-06,0.2168458781362007,0.9076923076923077,2.4497509002685547e-05,True,qwen
appod,H08,8,accuracy,8.033021704189674e-06,qwen,llava,25,69.0,0.010510802268981934,0.04567078972407235,0.5753846153846154,0.010510802268981934,True,qwen
appod,H08,8,accuracy,8.033021704189674e-06,internvl,llava,25,33.0,0.00018787384033203125,-0.13377192982456138,-0.796923076923077,0.0003757476806640625,True,llava
appod,H08,8,macro_f1,2.0380282464374845e-05,qwen,internvl,25,5.0,5.960464477539062e-07,0.09011765829721691,0.9692307692307692,1.7881393432617188e-06,True,qwen
appod,H08,8,macro_f1,2.0380282464374845e-05,qwen,llava,25,79.0,0.023649930953979492,0.02457181338567177,0.5138461538461538,0.023649930953979492,True,qwen
appod,H08,8,macro_f1,2.0380282464374845e-05,internvl,llava,25,14.0,6.556510925292969e-06,-0.06996496970999244,-0.9138461538461539,1.3113021850585938e-05,True,llava
appod,H10,10,accuracy,1.5403086132849725e-05,qwen,internvl,25,19.0,1.8298625946044922e-05,0.18817204301075274,0.8830769230769231,5.4895877838134766e-05,True,qwen
appod,H10,10,accuracy,1.5403086132849725e-05,qwen,llava,25,25.0,5.3882598876953125e-05,0.03806870937790152,0.8461538461538461,0.00010776519775390625,True,qwen
appod,H10,10,accuracy,1.5403086132849725e-05,internvl,llava,25,42.0,0.0006313323974609375,-0.08114035087719296,-0.7415384615384616,0.0006313323974609375,True,llava
appod,H10,10,macro_f1,1.650330657091042e-05,qwen,internvl,25,25.0,5.3882598876953125e-05,0.08257108338182967,0.8461538461538461,0.00016164779663085938,True,qwen
appod,H10,10,macro_f1,1.650330657091042e-05,qwen,llava,25,56.0,0.0030878782272338867,0.03711806959630881,0.6553846153846153,0.0030878782272338867,True,qwen
appod,H10,10,macro_f1,1.650330657091042e-05,internvl,llava,25,41.0,0.0005564093589782715,-0.048087653430338606,-0.7476923076923077,0.001112818717956543,True,llava
appod,H12,12,accuracy,0.00018092736474249456,qwen,internvl,25,20.0,2.2113323211669922e-05,0.21027479091995216,0.8769230769230769,6.633996963500977e-05,True,qwen
appod,H12,12,accuracy,0.00018092736474249456,qwen,llava,25,40.0,0.0004894733428955078,0.052482269503546064,0.7538461538461538,0.0009789466857910156,True,qwen
appod,H12,12,accuracy,0.00018092736474249456,internvl,llava,25,43.0,0.0007149577140808105,-0.0767543859649123,-0.7353846153846154,0.0009789466857910156,True,llava
appod,H12,12,macro_f1,0.0007158036022229621,qwen,internvl,25,47.0,0.0011548399925231934,0.07750600633105414,0.7107692307692308,0.0024243593215942383,True,qwen
appod,H12,12,macro_f1,0.0007158036022229621,qwen,llava,25,73.0,0.014722049236297607,0.022829260679578856,0.5507692307692308,0.014722049236297607,True,qwen
appod,H12,12,macro_f1,0.0007158036022229621,internvl,llava,25,44.0,0.0008081197738647461,-0.04115521211836226,-0.7292307692307692,0.0024243593215942383,True,llava
appod,H14,14,accuracy,0.00018092736474249456,qwen,internvl,25,28.0,8.803606033325195e-05,0.10941960038058995,0.8276923076923077,0.0001760721206665039,True,qwen
appod,H14,14,accuracy,0.00018092736474249456,qwen,llava,25,17.0,1.233816146850586e-05,0.07040913415794481,0.8953846153846153,3.701448440551758e-05,True,qwen
appod,H14,14,accuracy,0.00018092736474249456,internvl,llava,25,160.0,0.9578450322151184,-0.028099173553718992,-0.015384615384615385,0.9578450322151184,False,No difference
appod,H14,14,macro_f1,0.009453334795333413,qwen,internvl,25,36.0,0.00028705596923828125,0.032341034156031984,0.7784615384615384,0.0008611679077148438,True,qwen
appod,H14,14,macro_f1,0.009453334795333413,qwen,llava,25,77.0,0.02027493715286255,0.029052941925344467,0.5261538461538462,0.0405498743057251,True,qwen
appod,H14,14,macro_f1,0.009453334795333413,internvl,llava,25,113.0,0.19081425666809082,-0.007486170295591343,-0.3046153846153846,0.19081425666809082,False,No difference
appod,H16,16,accuracy,0.0014346235202186137,qwen,internvl,25,30.0,0.00012022256851196289,0.11460446247464501,0.8153846153846154,0.00036066770553588867,True,qwen
appod,H16,16,accuracy,0.0014346235202186137,qwen,llava,25,51.0,0.0018156766891479492,0.051063829787234005,0.6861538461538461,0.0036313533782958984,True,qwen
appod,H16,16,accuracy,0.0014346235202186137,internvl,llava,25,99.0,0.09031611680984497,-0.0508038585209003,-0.39076923076923076,0.09031611680984497,False,No difference
appod,H16,16,macro_f1,0.0019444513525333181,qwen,internvl,25,41.0,0.0005564093589782715,0.04412703490191444,0.7476923076923077,0.0016692280769348145,True,qwen
appod,H16,16,macro_f1,0.0019444513525333181,qwen,llava,25,87.0,0.04215019941329956,0.02750745660703896,0.4646153846153846,0.08430039882659912,False,No difference
appod,H16,16,macro_f1,0.0019444513525333181,internvl,llava,25,89.0,0.04826241731643677,-0.01787944561270416,-0.4523076923076923,0.08430039882659912,False,No difference
appod,H18,18,accuracy,0.00010153638506093016,qwen,internvl,25,19.0,1.8298625946044922e-05,0.19980250164581959,0.8830769230769231,5.4895877838134766e-05,True,qwen
appod,H18,18,accuracy,0.00010153638506093016,qwen,llava,25,25.0,5.3882598876953125e-05,0.06382978723404253,0.8461538461538461,0.00010776519775390625,True,qwen
appod,H18,18,accuracy,0.00010153638506093016,internvl,llava,25,45.0,0.0009118914604187012,-0.06389452332657203,-0.7230769230769231,0.0009118914604187012,True,llava
appod,H18,18,macro_f1,0.0019444513525333181,qwen,internvl,25,46.0,0.0010271072387695312,0.053343306061144014,0.7169230769230769,0.0030813217163085938,True,qwen
appod,H18,18,macro_f1,0.0019444513525333181,qwen,llava,25,95.0,0.0709836483001709,0.016591893713758077,0.4153846153846154,0.0709836483001709,False,No difference
appod,H18,18,macro_f1,0.0019444513525333181,internvl,llava,25,60.0,0.004604637622833252,-0.027109632924088023,-0.6307692307692307,0.009209275245666504,True,llava
appod,H20,20,accuracy,0.00018092736474249456,qwen,internvl,25,17.0,0.00014469608785023995,0.19684002633311387,0.8866666666666667,0.0004340882635507199,True,qwen
appod,H20,20,accuracy,0.00018092736474249456,qwen,llava,25,61.0,0.0050716400146484375,0.04979811574697168,0.6246153846153846,0.0050716400146484375,True,qwen
appod,H20,20,accuracy,0.00018092736474249456,internvl,llava,25,44.0,0.0008081197738647461,-0.08980716253443527,-0.7292307692307692,0.0016162395477294922,True,llava
appod,H20,20,macro_f1,0.00046426704534125335,qwen,internvl,25,25.0,5.3882598876953125e-05,0.0697633331880883,0.8461538461538461,0.00016164779663085938,True,qwen
appod,H20,20,macro_f1,0.00046426704534125335,qwen,llava,25,78.0,0.021908342838287354,0.02183217142498889,0.52,0.021908342838287354,True,qwen
appod,H20,20,macro_f1,0.00046426704534125335,internvl,llava,25,56.0,0.0030878782272338867,-0.04468652664601547,-0.6553846153846153,0.0061757564544677734,True,llava
appod,H22,22,accuracy,0.00045311368245798807,qwen,internvl,25,26.0,6.365776062011719e-05,0.20013166556945355,0.84,0.00019097328186035156,True,qwen
appod,H22,22,accuracy,0.00045311368245798807,qwen,llava,25,37.0,0.00032907724380493164,0.061576354679802936,0.7723076923076924,0.0006581544876098633,True,qwen
appod,H22,22,accuracy,0.00045311368245798807,internvl,llava,25,65.0,0.015158438877439449,-0.0450928381962864,-0.5666666666666667,0.015158438877439449,True,llava
appod,H22,22,macro_f1,0.009453334795333413,qwen,internvl,25,66.0,0.00806879997253418,0.0410667897401189,0.5938461538461538,0.02420639991760254,True,qwen
appod,H22,22,macro_f1,0.009453334795333413,qwen,llava,25,112.0,0.18172985315322876,0.011582642687370692,0.31076923076923074,0.18172985315322876,False,No difference
appod,H22,22,macro_f1,0.009453334795333413,internvl,llava,25,96.0,0.07547956705093384,-0.020178486136643192,-0.40923076923076923,0.15095913410186768,False,No difference
appod,H24,24,accuracy,0.00010153638506093016,qwen,internvl,25,19.0,1.8298625946044922e-05,0.21461487820934827,0.8830769230769231,5.4895877838134766e-05,True,qwen
appod,H24,24,accuracy,0.00010153638506093016,qwen,llava,25,31.0,0.0001398921012878418,0.06773399014778325,0.8092307692307692,0.0002797842025756836,True,qwen
appod,H24,24,accuracy,0.00010153638506093016,internvl,llava,25,68.0,0.00963503122329712,-0.05652759084791381,-0.5815384615384616,0.00963503122329712,True,llava
appod,H24,24,macro_f1,0.00579614586952301,qwen,internvl,25,60.0,0.004604637622833252,0.043943165037407306,0.6307692307692307,0.013813912868499756,True,qwen
appod,H24,24,macro_f1,0.00579614586952301,qwen,llava,25,94.0,0.06670159101486206,0.020190928157993948,0.42153846153846153,0.1252528429031372,False,No difference
appod,H24,24,macro_f1,0.00579614586952301,internvl,llava,25,93.0,0.0626264214515686,-0.01799124252258405,-0.4276923076923077,0.1252528429031372,False,No difference
appod,H26,26,accuracy,0.00018092736474249456,qwen,internvl,25,18.0,1.5079975128173828e-05,0.20467836257309946,0.8892307692307693,4.5239925384521484e-05,True,qwen
appod,H26,26,accuracy,0.00018092736474249456,qwen,llava,25,36.0,0.00028705596923828125,0.06725146198830412,0.7784615384615384,0.0005741119384765625,True,qwen
appod,H26,26,accuracy,0.00018092736474249456,internvl,llava,25,43.0,0.0007149577140808105,-0.12698412698412698,-0.7353846153846154,0.0007149577140808105,True,llava
appod,H26,26,macro_f1,0.00046426704534125335,qwen,internvl,25,38.0,0.0003764033317565918,0.07004345781528792,0.7661538461538462,0.0011292099952697754,True,qwen
appod,H26,26,macro_f1,0.00046426704534125335,qwen,llava,25,72.0,0.013554692268371582,0.029559313814632948,0.556923076923077,0.027109384536743164,True,qwen
appod,H26,26,macro_f1,0.00046426704534125335,internvl,llava,25,73.0,0.014722049236297607,-0.032564644672267995,-0.5507692307692308,0.027109384536743164,True,llava
