model,approach,history,history_frames,case_study,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
qwen,appfr,H20,20,pal,9249,0.5946588820413018,0.3503001673722305,0.33854304720713757,0.2707742452244543,0.33854304720713757
qwen,appfr,H22,22,crowdbot,8801,0.5410748778547892,0.36464651707430623,0.3704003170828379,0.36609627283176255,0.3704003170828379
qwen,appfr,H22,22,huron,16862,0.9045190368876764,0.4412256426830418,0.36522551298348765,0.37330246564279373,0.36522551298348765
qwen,appfr,H22,22,pal,9249,0.5942264028543627,0.34950119909797733,0.338541301931283,0.271385596473287,0.338541301931283
qwen,appfr,H24,24,crowdbot,8801,0.5372116804908533,0.363899829716212,0.36773946360153253,0.36423069096032973,0.36773946360153253
qwen,appfr,H24,24,huron,16862,0.9053493061321314,0.4484605756798912,0.366851491850102,0.3758672794773216,0.366851491850102
qwen,appfr,H24,24,pal,9249,0.5948751216347713,0.3556021739692452,0.3398633047592407,0.2746667878182121,0.3398633047592407
qwen,appfr,H26,26,crowdbot,8801,0.5460743097375298,0.3642298218795892,0.3739569295811864,0.368316857458763,0.3739569295811864
qwen,appfr,H26,26,huron,16862,0.9047562566718065,0.4434420299571508,0.3628920269384574,0.37007833904698967,0.3628920269384574
qwen,appfr,H26,26,pal,9249,0.5953076008217104,0.3542708043868137,0.3381258608300453,0.26841247113663697,0.3381258608300453
qwen,appfr,H28,28,crowdbot,8801,0.5491421429383024,0.36641223836521,0.37605760338221694,0.370432646101694,0.37605760338221694
qwen,appfr,H28,28,huron,16862,0.9053493061321314,0.45024838461502154,0.3659712060052283,0.3747399542144838,0.3659712060052283
qwen,appfr,H28,28,pal,9249,0.5963887987890583,0.36221831479703565,0.3392097207676439,0.2703677872853165,0.3392097207676439
qwen,appfr,H30,30,crowdbot,8801,0.5430064765367572,0.362311172440236,0.3725591227374818,0.3672382719366101,0.3725591227374818
qwen,appfr,H30,30,huron,16862,0.9050527814019689,0.4484879722202435,0.36520186658610737,0.3736041956855658,0.36520186658610737
qwen,appfr,H30,30,pal,9249,0.5959563196021191,0.35793363711811593,0.33656920566343757,0.26206954964404855,0.33656920566343757
qwen,appfr,H32,32,crowdbot,8801,0.5441427110555619,0.3629219405411539,0.37321178491214163,0.36797161268551787,0.37321178491214163
qwen,appfr,H32,32,huron,16862,0.9045190368876764,0.44175979177453106,0.36280472691008486,0.369909885683908,0.36280472691008486
qwen,appfr,H32,32,pal,9249,0.5959563196021191,0.3585529076109759,0.3368690658712048,0.2631112830203225,0.3368690658712048
qwen,appod,H02,2,crowdbot,8801,0.4758550164754005,0.3174229170193954,0.3264922711058264,0.32173068582900305,0.3264922711058264
qwen,appod,H02,2,huron,16862,0.8445617364488198,0.3993716525765352,0.4443933029728162,0.4138452174318008,0.4443933029728162
qwen,appod,H02,2,pal,9249,0.5983349551302843,0.3628348001319237,0.3961910139847646,0.37587710986607376,0.3961910139847646
qwen,appod,H04,4,crowdbot,8801,0.4784683558686513,0.3151391496033655,0.3258871713568503,0.3082957898376392,0.3258871713568503
qwen,appod,H04,4,huron,16862,0.8092752935594829,0.3746857104016539,0.41600242146711497,0.3837688282765219,0.41600242146711497
qwen,appod,H04,4,pal,9249,0.5497891663963672,0.37660561058251024,0.4241819663002067,0.3813447444420765,0.4241819663002067
qwen,appod,H06,6,crowdbot,8801,0.502670151119191,0.33475891147848813,0.3422195798652398,0.321721132468779,0.3422195798652398
qwen,appod,H06,6,huron,16862,0.8721385363539319,0.4055506451693344,0.41602942555789424,0.4105962692496665,0.41602942555789424
qwen,appod,H06,6,pal,9249,0.5850362201319061,0.36374782399542843,0.40627262177476836,0.383831928869706,0.40627262177476836
qwen,appod,H08,8,crowdbot,8801,0.49392114532439496,0.3293741100578615,0.33688994583168186,0.32448260503531284,0.33688994583168186
qwen,appod,H08,8,huron,16862,0.8644881983157395,0.4008607417535252,0.4195960720182154,0.40914309037314434,0.4195960720182154
qwen,appod,H08,8,pal,9249,0.5564925937939237,0.3588314692290864,0.4038185239477808,0.375206868815635,0.4038185239477808
qwen,appod,H10,10,crowdbot,8801,0.5057379843199636,0.3496075739598647,0.34732886710555566,0.33522393454849775,0.34732886710555566
qwen,appod,H10,10,huron,16862,0.8772387617127269,0.41840840009350266,0.4333113784531936,0.425407607408165,0.4333113784531936
qwen,appod,H10,10,pal,9249,0.5802789490755758,0.35545939860079717,0.3931195466401629,0.372744508967008,0.3931195466401629
qwen,appod,H12,12,crowdbot,8801,0.49892057720713556,0.3449564557959853,0.34209171556638274,0.32286197771992997,0.34209171556638274
qwen,appod,H12,12,huron,16862,0.8835843909382043,0.42457336423428643,0.4299247962204789,0.42723232039785075,0.4299247962204789
qwen,appod,H12,12,pal,9249,0.5750891988323062,0.34694157103305884,0.3840428250553372,0.36365875244130746,0.3840428250553372
qwen,appod,H14,14,crowdbot,8801,0.5105101692989433,0.3509472204088007,0.34882231438247796,0.32996878008192393,0.34882231438247796
qwen,appod,H14,14,huron,16862,0.8889811410271616,0.42841665083187636,0.4213474417274687,0.4243358956613907,0.4213474417274687
qwen,appod,H14,14,pal,9249,0.5744404800518975,0.33444110405572197,0.3664084269248418,0.34367800506414364,0.3664084269248418
qwen,appod,H16,16,crowdbot,8801,0.4931257811612317,0.3438151847760123,0.3410443110376407,0.3280512238718421,0.3410443110376407
qwen,appod,H16,16,huron,16862,0.8901672399478117,0.4307902147902059,0.4233244420978602,0.42648946995487513,0.4233244420978602
qwen,appod,H16,16,pal,9249,0.5688182506216888,0.33141581069300713,0.36542618567387697,0.3434842126891924,0.36542618567387697
