case_study,metric,matched_values,friedman_chi2,p_value,kendalls_w
crowdbot,accuracy,224,21.5968645016796,2.0431509797950726e-05,0.04820728683410625
crowdbot,macro_f1,224,198.96428571428578,6.243876569465452e-44,0.44411670918367363
huron,accuracy,480,714.6857738405416,6.426227009570841e-156,0.7444643477505642
huron,macro_f1,480,168.3041666666668,2.8393214780436995e-37,0.1753168402777779
pal,accuracy,96,97.00783289817224,8.610269310747129e-22,0.5052491296779804
pal,macro_f1,96,27.645833333333258,9.926212489411447e-07,0.14398871527777737
