model,history,history_frames,metric,n_pairs,wilcoxon_statistic,raw_p,median_difference_appfr_minus_appod,rank_biserial_appfr_minus_appod,holm_p,significant,significant_better_approach
internvl,H18,18,macro_f1,25,31.0,0.0001398921012878418,-0.034218921717332124,-0.8092307692307692,0.002098381519317627,True,AppOd
internvl,H20,20,accuracy,25,85.0,0.06329083223334525,-0.014198782961460488,-0.43333333333333335,0.506326657866762,False,No difference
internvl,H20,20,macro_f1,25,80.0,0.02550506591796875,-0.01502197437820324,-0.5076923076923077,0.21284937858581543,False,No difference
internvl,H22,22,accuracy,25,50.0,0.001625359058380127,-0.05409356725146203,-0.6923076923076923,0.02112966775894165,True,AppOd
internvl,H22,22,macro_f1,25,35.0,0.0002498030662536621,-0.03627822913515488,-0.7846153846153846,0.0034972429275512695,True,AppOd
internvl,H24,24,accuracy,25,41.0,0.0005564093589782715,-0.04056795131845842,-0.7476923076923077,0.008346140384674072,True,AppOd
internvl,H24,24,macro_f1,25,26.0,6.365776062011719e-05,-0.028989572651149875,-0.84,0.001018524169921875,True,AppOd
internvl,H26,26,accuracy,25,140.0,0.5601714849472046,-0.031440162271805294,-0.13846153846153847,1.0,False,No difference
internvl,H26,26,macro_f1,25,107.0,0.14091521501541138,-0.04076038903625115,-0.3415384615384615,0.6332406401634216,False,No difference
internvl,H28,28,accuracy,25,141.0,0.5782062411308289,-0.021298174442190676,0.13230769230769232,1.0,False,No difference
internvl,H28,28,macro_f1,25,129.0,0.3809836506843567,-0.031507967873221826,-0.20615384615384616,0.6332406401634216,False,No difference
internvl,H30,30,accuracy,25,125.0,0.325391948223114,-0.04964539007092206,-0.23076923076923078,1.0,False,No difference
internvl,H30,30,macro_f1,25,67.0,0.008822321891784668,-0.05678660710174152,-0.5876923076923077,0.10586786270141602,False,No difference
internvl,H32,32,accuracy,25,159.0,0.936802864074707,-0.006794317479925871,-0.021538461538461538,1.0,False,No difference
internvl,H32,32,macro_f1,25,118.0,0.24106645584106445,-0.019125546361313417,-0.27384615384615385,0.6332406401634216,False,No difference
llava,H02,2,accuracy,25,155.0,0.8531995415687561,-0.0009514747859181716,0.046153846153846156,0.8531995415687561,False,No difference
llava,H02,2,macro_f1,25,131.0,0.4107651710510254,-0.003245914125159177,-0.19384615384615383,1.0,False,No difference
llava,H04,4,accuracy,25,85.0,0.036682069301605225,0.005673758865248235,0.47692307692307695,0.22265487909317017,False,No difference
llava,H04,4,macro_f1,25,105.0,0.12664812803268433,0.002232853771367893,0.35384615384615387,1.0,False,No difference
llava,H06,6,accuracy,25,92.0,0.05875152349472046,0.01382488479262678,0.4338461538461538,0.23500609397888184,False,No difference
