model,approach,history,history_frames,class_label,support,precision,recall,f1,class_accuracy
llava,appod,H14,14,potentially_unsafe,8497,0.33128248647501857,0.3675414852300812,0.3484713233653203,0.6655018331805683
llava,appod,H14,14,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H16,16,safe,24996,0.7310071942446044,0.8130100816130581,0.769831047806652,0.6519248395967002
llava,appod,H16,16,potentially_unsafe,8497,0.31046119235095615,0.2598564199129104,0.2829137036325197,0.6793939046746105
llava,appod,H16,16,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H18,18,safe,24996,0.7409507859780002,0.778804608737398,0.759406268895434,0.6466830889092575
llava,appod,H18,18,potentially_unsafe,8497,0.32804722768838984,0.33352948099329177,0.330765639589169,0.6715169569202566
llava,appod,H18,18,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H20,20,safe,24996,0.7295927601809955,0.8063290126420227,0.7660439748389427,0.6473705316223648
llava,appod,H20,20,potentially_unsafe,8497,0.29984904624674075,0.2571495822054843,0.27686264571718194,0.6730637030247479
llava,appod,H20,20,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H22,22,safe,24996,0.7450476746448725,0.765882541206593,0.7553214574579313,0.6447353345554537
llava,appod,H22,22,potentially_unsafe,8497,0.3300423131170663,0.35800870895610215,0.3434571525347183,0.6668767186067828
llava,appod,H22,22,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H24,24,safe,24996,0.7313863216266174,0.791486637862058,0.7602505475925143,0.6425870760769936
llava,appod,H24,24,potentially_unsafe,8497,0.3001780717374714,0.27774508650111807,0.288526193532612,0.6666189275893676
llava,appod,H24,24,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H26,26,safe,24996,0.7270818247646633,0.8034085453672588,0.7633419492169683,0.6433318056828597
llava,appod,H26,26,potentially_unsafe,8497,0.290181020296215,0.24902906908320585,0.2680347077078979,0.6689676901924839
llava,appod,H26,26,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H28,28,safe,24996,0.7228843861740167,0.8249719955192831,0.7705616382048502,0.6482584784601283
llava,appod,H28,28,potentially_unsafe,8497,0.2759160663952396,0.20736730610803814,0.23678021904185984,0.6746390925756187
llava,appod,H28,28,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H30,30,safe,24996,0.724995602462621,0.8244519123059689,0.7715317946126056,0.6504067369385884
llava,appod,H30,30,potentially_unsafe,8497,0.2842608293510097,0.21701777097799224,0.2461292044847838,0.6764436296975253
llava,appod,H30,30,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H32,32,safe,24996,0.7276843467011643,0.8101296207393183,0.7666969559291231,0.6469981668194317
llava,appod,H32,32,potentially_unsafe,8497,0.29460756634669677,0.24561609979992938,0.26789037930813164,0.6732642071494043
llava,appod,H32,32,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
