metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
macro_f1,internvl,appfr,H02,H06,25,24,2.6507312406827446e-22,0.04613984334897986,0.04660605985224851,24.0,0.00031821718031506727,0.0321399352118218,0.84,True,H02
macro_f1,internvl,appfr,H02,H08,25,24,2.6507312406827446e-22,0.04361132747726515,0.050772615386117236,5.0,3.4300562234013e-05,0.003841662970209456,0.9666666666666667,True,H02
macro_f1,internvl,appfr,H02,H10,25,24,2.6507312406827446e-22,0.07004303256038968,0.07207440293261175,7.0,4.3941424373529514e-05,0.004833556681088247,0.9533333333333334,True,H02
macro_f1,internvl,appfr,H02,H12,25,24,2.6507312406827446e-22,0.05543765140974602,0.06492722655098378,2.0,2.3517985308333274e-05,0.0027280862957666597,0.9866666666666667,True,H02
macro_f1,internvl,appfr,H02,H18,25,24,2.6507312406827446e-22,0.056413786906091834,0.07153641946707674,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H20,25,24,2.6507312406827446e-22,0.05510159778040541,0.06129431980673755,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H22,25,24,2.6507312406827446e-22,0.04492133920411123,0.06686184425484529,6.0,3.883801501287102e-05,0.004311019666428683,0.96,True,H02
macro_f1,internvl,appfr,H02,H24,25,24,2.6507312406827446e-22,0.06078650575437233,0.06811361619693862,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H26,25,24,2.6507312406827446e-22,0.0584507931763642,0.06659323764607389,4.0,3.0269594434715363e-05,0.003420464171122836,0.9733333333333334,True,H02
macro_f1,internvl,appfr,H02,H28,25,24,2.6507312406827446e-22,0.05520662625400513,0.06089259856980688,3.0,2.669149803181262e-05,0.0030428307756266387,0.98,True,H02
macro_f1,internvl,appfr,H02,H30,25,24,2.6507312406827446e-22,0.06674454657772416,0.06342392568281516,2.0,2.3517985308333274e-05,0.0027280862957666597,0.9866666666666667,True,H02
macro_f1,internvl,appfr,H02,H32,25,24,2.6507312406827446e-22,0.05526420171293689,0.06127295001520599,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H04,H18,25,22,2.6507312406827446e-22,0.0530888996276081,0.05671185521882087,19.0,0.0004829168093193103,0.04394542964805724,0.849802371541502,True,H04
macro_f1,internvl,appfr,H04,H24,25,22,2.6507312406827446e-22,0.03666001303213606,0.05328905194868274,17.0,0.00037799533287222436,0.036665547288605764,0.8656126482213439,True,H04
macro_f1,internvl,appfr,H04,H30,25,22,2.6507312406827446e-22,0.040907152492324905,0.04859936143455929,18.0,0.0004274598674209223,0.04060868740498762,0.857707509881423,True,H04
macro_f1,internvl,appfr,H04,H32,25,22,2.6507312406827446e-22,0.031612129880941586,0.04644838576695011,15.0,0.0002946941121244842,0.030058799436697387,0.8814229249011858,True,H04
macro_f1,internvl,appfr,H06,H10,25,23,2.6507312406827446e-22,0.02877151427868091,0.025468343080363217,14.0,0.00016229894900734112,0.0173659875437855,0.8985507246376812,True,H06
macro_f1,internvl,appfr,H06,H12,25,23,2.6507312406827446e-22,0.015224516021453888,0.01832116669873526,16.0,0.0002067487536799894,0.021915367890078877,0.8840579710144928,True,H06
macro_f1,internvl,appfr,H06,H18,25,23,2.6507312406827446e-22,0.020395170875721236,0.024930359614828236,17.0,0.00023304255763850054,0.024236425994404058,0.8768115942028986,True,H06
macro_f1,internvl,appfr,H06,H26,25,23,2.6507312406827446e-22,0.01570621215712803,0.019987177793825382,23.0,0.00046925417321687623,0.043171383935952615,0.8333333333333334,True,H06
macro_f1,internvl,appfr,H06,H30,25,23,2.6507312406827446e-22,0.017048263429069233,0.016817865830566655,20.0,0.000331994064682034,0.03286741240352137,0.855072463768116,True,H06
macro_f1,internvl,appfr,H08,H12,25,23,2.6507312406827446e-22,0.014432038223431143,0.014154611164866538,9.0,8.726126784231121e-05,0.009424216926969611,0.9347826086956522,True,H08
macro_f1,internvl,appfr,H08,H18,25,23,2.6507312406827446e-22,0.012802459428826685,0.02076380408095951,8.0,7.687343458186032e-05,0.008379204369422775,0.9420289855072463,True,H08
macro_f1,internvl,appfr,H10,H14,25,24,2.6507312406827446e-22,-0.05924338785248512,-0.05733402919320525,26.0,0.0003958170582658894,0.037998437593525385,-0.8266666666666667,True,H14
macro_f1,internvl,appfr,H12,H14,25,24,2.6507312406827446e-22,-0.05164200010283637,-0.05018685281157729,28.0,0.0004908249338836073,0.04417424404952466,-0.8133333333333334,True,H14
macro_f1,internvl,appfr,H12,H16,25,25,2.6507312406827446e-22,-0.0340790536150154,-0.04331667553962742,41.0,0.0005564093589782715,0.04952043294906616,-0.7476923076923077,True,H16
macro_f1,internvl,appfr,H14,H18,25,24,2.6507312406827446e-22,0.05599169986643532,0.05679604572767026,24.0,0.00031821718031506727,0.0321399352118218,0.84,True,H14
macro_f1,internvl,appfr,H14,H26,25,24,2.6507312406827446e-22,0.044369153024579194,0.051852863906667414,25.0,0.00035503938074694154,0.034793859313200275,0.8333333333333334,True,H14
macro_f1,internvl,appfr,H14,H28,25,24,2.6507312406827446e-22,0.04700804427107558,0.0461522248304004,27.0,0.0004409382679493639,0.04100725891929084,0.82,True,H14
macro_f1,internvl,appfr,H14,H30,25,24,2.6507312406827446e-22,0.048564746911769485,0.04868355194340869,23.0,0.0002849939018541178,0.029354371890974132,0.8466666666666667,True,H14
macro_f1,internvl,appfr,H14,H32,25,24,2.6507312406827446e-22,0.044369153024579194,0.04653257627579951,21.0,0.00022806209587862398,0.02394652006725552,0.86,True,H14
macro_f1,internvl,appfr,H16,H18,25,25,2.6507312406827446e-22,0.03832065402349738,0.049925868455720404,41.0,0.0005564093589782715,0.04952043294906616,0.7476923076923077,True,H16
macro_f1,internvl,appfr,H16,H32,25,25,2.6507312406827446e-22,0.03730110380545698,0.03966239900384963,39.0,0.000429689884185791,0.04060868740498762,0.76,True,H16
macro_f1,internvl,appod,H02,H06,25,25,9.932309189120143e-11,0.0377233799182789,0.039173717234343305,12.0,4.172325134277344e-06,0.0004756450653076172,0.9261538461538461,True,H02
macro_f1,internvl,appod,H02,H08,25,25,9.932309189120143e-11,0.03732524120074182,0.04011818507008921,20.0,2.2113323211669922e-05,0.0023882389068603516,0.8769230769230769,True,H02
macro_f1,internvl,appod,H04,H06,25,25,9.932309189120143e-11,0.041750289900785525,0.03264905620612379,5.0,5.960464477539062e-07,7.092952728271484e-05,0.9692307692307692,True,H04
macro_f1,internvl,appod,H04,H08,25,25,9.932309189120143e-11,0.018678465625184604,0.0335935240418697,11.0,3.2782554626464844e-06,0.0003802776336669922,0.9323076923076923,True,H04
macro_f1,internvl,appod,H06,H14,25,25,9.932309189120143e-11,-0.04798130753625782,-0.03952256144406576,26.0,6.365776062011719e-05,0.006811380386352539,-0.84,True,H14
macro_f1,internvl,appod,H06,H16,25,25,9.932309189120143e-11,-0.02662406452320562,-0.03344130389412374,26.0,6.365776062011719e-05,0.006811380386352539,-0.84,True,H16
macro_f1,internvl,appod,H06,H18,25,24,9.932309189120143e-11,-0.03237877029377573,-0.027977172584700248,12.0,8.051662013688955e-05,0.008373728494236513,-0.92,True,H18
macro_f1,internvl,appod,H06,H20,25,25,9.932309189120143e-11,-0.015329489186746648,-0.02044913967970844,31.0,0.0001398921012878418,0.014408886432647705,-0.8092307692307692,True,H20
macro_f1,internvl,appod,H06,H22,25,25,9.932309189120143e-11,-0.027192706413493306,-0.041704832115231606,11.0,3.2782554626464844e-06,0.0003802776336669922,-0.9323076923076923,True,H22
macro_f1,internvl,appod,H06,H24,25,25,9.932309189120143e-11,-0.023082577275318178,-0.0377916514759983,13.0,5.245208740234375e-06,0.00058746337890625,-0.92,True,H24
macro_f1,internvl,appod,H08,H10,25,25,9.932309189120143e-11,-0.016074590155022217,-0.026602421568058175,16.0,1.0073184967041016e-05,0.0011080503463745117,-0.9015384615384615,True,H10
macro_f1,internvl,appod,H08,H12,25,25,9.932309189120143e-11,-0.011496193032973445,-0.027284267053339334,27.0,7.49826431274414e-05,0.007873177528381348,-0.8338461538461538,True,H12
macro_f1,internvl,appod,H08,H14,25,25,9.932309189120143e-11,-0.04332210855907287,-0.040467029279811675,33.0,0.00018787384033203125,0.018975257873535156,-0.796923076923077,True,H14
macro_f1,internvl,appod,H08,H16,25,25,9.932309189120143e-11,-0.036333327781885416,-0.034385771729869646,32.0,0.00016230344772338867,0.016554951667785645,-0.803076923076923,True,H16
macro_f1,internvl,appod,H08,H18,25,25,9.932309189120143e-11,-0.023153139941179957,-0.02892164042044616,9.0,1.9669532775878906e-06,0.0002321004867553711,-0.9446153846153846,True,H18
macro_f1,internvl,appod,H08,H20,25,25,9.932309189120143e-11,-0.01231055253935015,-0.02139360751545435,9.0,1.9669532775878906e-06,0.0002321004867553711,-0.9446153846153846,True,H20
macro_f1,internvl,appod,H08,H22,25,25,9.932309189120143e-11,-0.030397295977655087,-0.042649299950977514,4.0,4.172325134277344e-07,5.0067901611328125e-05,-0.9753846153846154,True,H22
macro_f1,internvl,appod,H08,H24,25,25,9.932309189120143e-11,-0.030258431056038232,-0.03873611931174421,12.0,4.172325134277344e-06,0.0004756450653076172,-0.9261538461538461,True,H24
macro_f1,internvl,appod,H26,H30,25,25,9.932309189120143e-11,-0.018552482714576296,-0.019498155130744658,17.0,1.233816146850586e-05,0.0013448596000671387,-0.8953846153846153,True,H30
macro_f1,internvl,appod,H28,H30,25,25,9.932309189120143e-11,-0.021046408072349726,-0.02426448629853249,14.0,6.556510925292969e-06,0.0007277727127075195,-0.9138461538461539,True,H30
