metric,model,approach,history_1,history_2,n_pairs,nonzero_pairs,friedman_holm_p,median_difference_h1_minus_h2,mean_difference_h1_minus_h2,wilcoxon_statistic,raw_p,holm_p,rank_biserial_h1_minus_h2,significant_holm,significant_better_history
macro_f1,internvl,appfr,H02,H04,25,24,2.6507312406827446e-22,0.007606151445562925,0.01482456424825588,60.0,0.01012799054939065,0.5266555085683138,0.6,False,No difference
macro_f1,internvl,appfr,H02,H06,25,24,2.6507312406827446e-22,0.04613984334897986,0.04660605985224851,24.0,0.00031821718031506727,0.0321399352118218,0.84,True,H02
macro_f1,internvl,appfr,H02,H08,25,24,2.6507312406827446e-22,0.04361132747726515,0.050772615386117236,5.0,3.4300562234013e-05,0.003841662970209456,0.9666666666666667,True,H02
macro_f1,internvl,appfr,H02,H10,25,24,2.6507312406827446e-22,0.07004303256038968,0.07207440293261175,7.0,4.3941424373529514e-05,0.004833556681088247,0.9533333333333334,True,H02
macro_f1,internvl,appfr,H02,H12,25,24,2.6507312406827446e-22,0.05543765140974602,0.06492722655098378,2.0,2.3517985308333274e-05,0.0027280862957666597,0.9866666666666667,True,H02
macro_f1,internvl,appfr,H02,H14,25,24,2.6507312406827446e-22,0.015107089700847731,0.014740373739406483,67.0,0.017719471291181378,0.8150956793943434,0.5533333333333333,False,No difference
macro_f1,internvl,appfr,H02,H16,25,25,2.6507312406827446e-22,0.0156409883613699,0.021610551011356356,62.0,0.005578815937042236,0.306834876537323,0.6184615384615385,False,No difference
macro_f1,internvl,appfr,H02,H18,25,24,2.6507312406827446e-22,0.056413786906091834,0.07153641946707674,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H20,25,24,2.6507312406827446e-22,0.05510159778040541,0.06129431980673755,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H22,25,24,2.6507312406827446e-22,0.04492133920411123,0.06686184425484529,6.0,3.883801501287102e-05,0.004311019666428683,0.96,True,H02
macro_f1,internvl,appfr,H02,H24,25,24,2.6507312406827446e-22,0.06078650575437233,0.06811361619693862,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H02,H26,25,24,2.6507312406827446e-22,0.0584507931763642,0.06659323764607389,4.0,3.0269594434715363e-05,0.003420464171122836,0.9733333333333334,True,H02
macro_f1,internvl,appfr,H02,H28,25,24,2.6507312406827446e-22,0.05520662625400513,0.06089259856980688,3.0,2.669149803181262e-05,0.0030428307756266387,0.98,True,H02
macro_f1,internvl,appfr,H02,H30,25,24,2.6507312406827446e-22,0.06674454657772416,0.06342392568281516,2.0,2.3517985308333274e-05,0.0027280862957666597,0.9866666666666667,True,H02
macro_f1,internvl,appfr,H02,H32,25,24,2.6507312406827446e-22,0.05526420171293689,0.06127295001520599,0.0,1.821529714896801e-05,0.0021858356578761612,1.0,True,H02
macro_f1,internvl,appfr,H04,H06,25,23,2.6507312406827446e-22,0.04340871421526421,0.031781495603992634,56.0,0.012630323368642548,0.6423537141232459,0.5942028985507246,False,No difference
macro_f1,internvl,appfr,H04,H08,25,23,2.6507312406827446e-22,0.04574139886174955,0.035948051137861356,37.0,0.0021269364671226854,0.1297431244944838,0.7318840579710145,False,No difference
macro_f1,internvl,appfr,H04,H10,25,22,2.6507312406827446e-22,0.04496592316788961,0.057249838684355854,22.0,0.0006921738104795526,0.05814260008028242,0.8260869565217391,False,No difference
macro_f1,internvl,appfr,H04,H12,25,22,2.6507312406827446e-22,0.03958241073465263,0.0501026623027279,23.0,0.0007788753356181733,0.06075227617821752,0.8181818181818182,False,No difference
macro_f1,internvl,appfr,H04,H14,25,24,2.6507312406827446e-22,0.0002833788791805625,-8.419050884939772e-05,140.0,0.7750969621959847,1.0,0.06666666666666667,False,No difference
