metric,model,approach,history,history_frames,bags,median_bag_value,mean_bag_value,q1_bag_value,q3_bag_value,iqr_bag_value,minimum_bag_value,maximum_bag_value,average_rank,pooled_frame_value,huron_median_bag_value,pal_median_bag_value,crowdbot_median_bag_value
macro_f1,qwen,appfr,H02,2,25,0.36583628308733496,0.3587768901859926,0.3206426825008732,0.41049993534119383,0.08985725284032064,0.1895404328889079,0.485587783500497,5.96,0.4331153409029523,0.40808533241454553,0.29509328900797877,0.2889880217274501
macro_f1,qwen,appfr,H04,4,25,0.3292130201895344,0.33737253237484555,0.31244661096473275,0.3782996957901279,0.06585308482539515,0.18434677045517356,0.48075464135927054,8.7,0.40924768505992937,0.3462092678194373,0.26746821720705627,0.31861957200356
macro_f1,qwen,appfr,H06,6,25,0.32853251923019366,0.33432473969216514,0.3194359570546356,0.367842535787321,0.04840657873268539,0.19158011034529557,0.44549464398235666,9.5,0.4203695980517663,0.32853251923019366,0.2659103567554891,0.334622564780602
macro_f1,qwen,appfr,H08,8,25,0.32567636549259826,0.33528861881386746,0.31792586304470855,0.3631284916201117,0.045202628575403137,0.196236414395475,0.45556920099735776,9.42,0.4102154950826116,0.32567636549259826,0.2717448384806513,0.3396791720372461
macro_f1,qwen,appfr,H10,10,25,0.3273313492063492,0.33322450675091003,0.32095369096744614,0.3644334504539973,0.04347975948655114,0.20167139402136325,0.4610819335217458,9.24,0.4237818530174425,0.3273313492063492,0.2804414317866756,0.35535444947209655
macro_f1,qwen,appfr,H12,12,25,0.3300452116728319,0.33639625736951184,0.32015856360032646,0.3641049912596585,0.043946427659332044,0.19833882161269578,0.4634227391407548,8.16,0.4185733777793115,0.3300452116728319,0.2849322644634629,0.35414963267135446
macro_f1,qwen,appfr,H14,14,25,0.32627118644067793,0.3279686912504029,0.31262939958592134,0.34995309078816467,0.037323691202243325,0.1914254125847501,0.43957443281569053,10.34,0.4237692400395241,0.32627118644067793,0.27183811370245764,0.3461206125214102
macro_f1,qwen,appfr,H16,16,25,0.32627118644067793,0.32827369837947346,0.3120787973043027,0.35667356903648023,0.04459477173217752,0.19493972771507853,0.44010801671534633,9.94,0.4229716351197761,0.32627118644067793,0.2753027588582703,0.3416466437543721
macro_f1,qwen,appfr,H18,18,25,0.32627118644067793,0.33443137227439834,0.3157961954695167,0.3699354317998386,0.054139236330321916,0.19777066733588475,0.43743446991982715,8.84,0.41701905371378317,0.32627118644067793,0.26541447401173124,0.3699354317998386
macro_f1,qwen,appfr,H20,20,25,0.32619775739041795,0.3331713901636562,0.3131782945736434,0.37804634285099253,0.06486804827734916,0.1995251770232931,0.43017354677625663,8.96,0.4157280504481342,0.32619775739041795,0.2691215817619193,0.37183825354136096
macro_f1,qwen,appfr,H22,22,25,0.3302526186075169,0.333758153738869,0.31427099433281813,0.36462792026673635,0.05035692593391822,0.19574276355045728,0.43017354677625663,8.02,0.4165506386308142,0.32627118644067793,0.27568782723462265,0.36462792026673635
macro_f1,qwen,appfr,H24,24,25,0.32627118644067793,0.3334520156348688,0.31427099433281813,0.364417445884003,0.050146451551184856,0.19699905468078213,0.4352742421964142,7.52,0.41672567784820386,0.32619775739041795,0.28207508848285184,0.364417445884003
macro_f1,qwen,appfr,H26,26,25,0.32738588752915687,0.3333422074184611,0.31427099433281813,0.35960179833012207,0.04533080399730394,0.18915660966309744,0.4332533050578969,7.88,0.4158989853286001,0.32627118644067793,0.2799049023289559,0.3563574304091024
macro_f1,qwen,appfr,H28,28,25,0.32627118644067793,0.3357362121040223,0.314851323407775,0.36550338684616746,0.05065206343839246,0.19257421441427638,0.4398324868573465,7.08,0.41763800047680694,0.32619775739041795,0.2795082286389912,0.36550338684616746
