metric,model,approach,bags,histories,degrees_of_freedom,friedman_chi2,raw_p,kendalls_w,holm_p,significant_raw,significant_holm
accuracy,qwen,appfr,25,16,15,46.831689349481955,3.917591313096919e-05,0.12488450493195188,3.917591313096919e-05,True,True
accuracy,qwen,appod,25,16,15,105.04087193460485,1.434741361886001e-15,0.28010899182561294,7.173706809430005e-15,True,True
accuracy,internvl,appfr,25,16,15,117.5035617148038,5.765785699245354e-18,0.31334283123947676,3.4594714195472126e-17,True,True
accuracy,internvl,appod,25,16,15,78.46072186836517,1.3338255595376403e-10,0.20922859164897378,5.335302238150561e-10,True,True
accuracy,llava,appfr,25,16,15,67.20237042278444,1.400252991479875e-08,0.17920632112742518,4.200758974439625e-08,True,True
accuracy,llava,appod,25,16,15,49.21332388377036,1.6176357963207252e-05,0.13123553035672095,3.2352715926414504e-05,True,True
