metric,approach,history,history_frames,unique_winner,winner_code,decision_reason
deep_gini,appod,H14,14,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H16,16,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H18,18,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H20,20,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H22,22,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H24,24,qwen,Q,Significantly better than both alternatives
deep_gini,appod,H26,26,No unique winner,—,Omnibus not significant
deep_gini,appod,H28,28,No unique winner,—,Omnibus not significant
deep_gini,appod,H30,30,No unique winner,—,Omnibus not significant
deep_gini,appod,H32,32,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H02,2,qwen,Q,Significantly better than both alternatives
entropy,appfr,H04,4,qwen,Q,Significantly better than both alternatives
entropy,appfr,H06,6,qwen,Q,Significantly better than both alternatives
entropy,appfr,H08,8,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H10,10,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H12,12,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H14,14,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H16,16,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H18,18,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H20,20,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H22,22,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H24,24,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H26,26,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H28,28,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H30,30,No unique winner,—,No model significantly beat both alternatives
entropy,appfr,H32,32,No unique winner,—,No model significantly beat both alternatives
entropy,appod,H02,2,qwen,Q,Significantly better than both alternatives
entropy,appod,H04,4,qwen,Q,Significantly better than both alternatives
entropy,appod,H06,6,qwen,Q,Significantly better than both alternatives
entropy,appod,H08,8,qwen,Q,Significantly better than both alternatives
entropy,appod,H10,10,qwen,Q,Significantly better than both alternatives
entropy,appod,H12,12,qwen,Q,Significantly better than both alternatives
entropy,appod,H14,14,qwen,Q,Significantly better than both alternatives
entropy,appod,H16,16,qwen,Q,Significantly better than both alternatives
