metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
deep_gini,more negative correctness correlation is better,appfr,H28,28,22,True,-0.20637267024193784,0.5582406311505019,-0.2243066248877741,0.20637267024193784,-0.5582406311505019,0.2243066248877741,llava,24.818181818181813,2,4.0813166670725465e-06,0.5640495867768593,4.081316667072546e-05,True
deep_gini,more negative correctness correlation is better,appfr,H30,30,24,True,-0.20986033288615902,0.5436838344070938,-0.20234662820806198,0.20986033288615902,-0.5436838344070938,0.20234662820806198,qwen,30.333333333333314,2,2.5894072390642916e-07,0.6319444444444441,4.143051582502867e-06,True
deep_gini,more negative correctness correlation is better,appfr,H32,32,23,True,-0.21621496619809863,0.5001659262496265,-0.21096809099761724,0.21621496619809863,-0.5001659262496265,0.21096809099761724,qwen,26.86956521739131,2,1.4633494459653596e-06,0.5841209829867676,1.9023542797549675e-05,True
deep_gini,more negative correctness correlation is better,appod,H02,2,23,True,-0.2338900955545058,0.031839465847492206,0.02659313427316291,0.2338900955545058,-0.031839465847492206,-0.02659313427316291,qwen,21.47826086956519,2,2.167978204360548e-05,0.466918714555765,0.00017343825634884383,True
deep_gini,more negative correctness correlation is better,appod,H04,4,21,True,-0.1932353421635125,0.04345127257202533,-0.032552819370876826,0.1932353421635125,-0.04345127257202533,0.032552819370876826,qwen,9.23809523809524,2,0.009862184146290724,0.21995464852607716,0.039448736585162895,True
deep_gini,more negative correctness correlation is better,appod,H06,6,23,True,-0.1916768279785788,0.24588456404451564,-0.07265921271756387,0.1916768279785788,-0.24588456404451564,0.07265921271756387,qwen,11.565217391304316,2,0.0030806683904542258,0.25141776937618077,0.018484010342725354,True
deep_gini,more negative correctness correlation is better,appod,H08,8,23,True,-0.22864612814921093,0.2518501497262969,-0.05331462934364607,0.22864612814921093,-0.2518501497262969,0.05331462934364607,qwen,15.913043478260875,2,0.0003503696776160408,0.34593572778827986,0.002452587743312286,True
deep_gini,more negative correctness correlation is better,appod,H10,10,23,True,-0.24597854393207988,0.15773356734192265,-0.030026824557860956,0.24597854393207988,-0.15773356734192265,0.030026824557860956,qwen,23.30434782608694,2,8.700118488371175e-06,0.5066162570888465,8.700118488371175e-05,True
deep_gini,more negative correctness correlation is better,appod,H12,12,23,True,-0.20029504876880333,0.1860551521217227,-0.019949738274599914,0.20029504876880333,-0.1860551521217227,0.019949738274599914,qwen,27.217391304347814,2,1.2297549301969877e-06,0.5916824196597351,1.721656902275783e-05,True
deep_gini,more negative correctness correlation is better,appod,H14,14,23,True,-0.1828974511780468,0.07430344641083933,-0.04535498044438602,0.1828974511780468,-0.07430344641083933,0.04535498044438602,qwen,23.739130434782624,2,7.000246344958146e-06,0.5160680529300571,8.400295613949775e-05,True
deep_gini,more negative correctness correlation is better,appod,H16,16,23,True,-0.2108552657255778,0.051531155678901236,-0.07793894071543075,0.2108552657255778,-0.051531155678901236,0.07793894071543075,qwen,22.260869565217376,2,1.4659312152768594e-05,0.48393194706994297,0.00013193380937491733,True
deep_gini,more negative correctness correlation is better,appod,H18,18,23,True,-0.26179856752597896,0.1779453214269999,-0.0411838659507455,0.26179856752597896,-0.1779453214269999,0.0411838659507455,qwen,29.82608695652175,2,3.336933170330635e-07,0.6483931947069945,5.339093072529016e-06,True
deep_gini,more negative correctness correlation is better,appod,H20,20,23,True,-0.2598371375883952,0.16310338669043628,-0.03434078752056274,0.2598371375883952,-0.16310338669043628,0.03434078752056274,qwen,29.82608695652175,2,3.336933170330635e-07,0.6483931947069945,5.339093072529016e-06,True
deep_gini,more negative correctness correlation is better,appod,H22,22,23,True,-0.26592297264008796,0.1742907907084269,-0.033432988571943684,0.26592297264008796,-0.1742907907084269,0.033432988571943684,qwen,23.739130434782624,2,7.000246344958146e-06,0.5160680529300571,8.400295613949775e-05,True
deep_gini,more negative correctness correlation is better,appod,H24,24,23,True,-0.249712098275026,0.17066876285284743,-0.05575954701909869,0.249712098275026,-0.17066876285284743,0.05575954701909869,qwen,25.391304347826065,2,3.064420201788686e-06,0.5519848771266536,3.9837462623252916e-05,True
deep_gini,more negative correctness correlation is better,appod,H26,26,24,True,-0.21215360917479853,-0.05013210133394701,-0.07864686629319069,0.21215360917479853,0.05013210133394701,0.07864686629319069,qwen,6.75,2,0.034218118311666025,0.140625,0.10265435493499808,False
deep_gini,more negative correctness correlation is better,appod,H28,28,23,True,-0.20979998855184906,-0.08424533521095953,-0.13615230480012602,0.20979998855184906,0.08424533521095953,0.13615230480012602,qwen,4.2608695652173765,2,0.11878563669440972,0.09262759924385601,0.11878563669440972,False
deep_gini,more negative correctness correlation is better,appod,H30,30,23,True,-0.1989333303846118,-0.05638233969495405,-0.13959552063762465,0.1989333303846118,0.05638233969495405,0.13959552063762465,qwen,6.608695652173878,2,0.03672315391132588,0.14366729678638865,0.10265435493499808,False
deep_gini,more negative correctness correlation is better,appod,H32,32,23,True,-0.19486468993216152,0.006253412790376925,-0.1354021001482831,0.19486468993216152,-0.006253412790376925,0.1354021001482831,qwen,11.565217391304316,2,0.0030806683904542258,0.25141776937618077,0.018484010342725354,True
entropy,more negative correctness correlation is better,appfr,H02,2,23,True,-0.22678612195762127,0.03990044310885751,-0.031071460730778724,0.22678612195762127,-0.03990044310885751,0.031071460730778724,qwen,26.69565217391306,2,1.5962936462907973e-06,0.5803402646502839,1.755923010919877e-05,True
entropy,more negative correctness correlation is better,appfr,H04,4,22,True,-0.29706865200143906,0.05099951094976057,-0.13203098162048094,0.29706865200143906,-0.05099951094976057,0.13203098162048094,qwen,27.909090909090935,2,8.701976610050633e-07,0.6342975206611576,1.1312569593065823e-05,True
entropy,more negative correctness correlation is better,appfr,H06,6,20,True,-0.2644296243176445,0.08351545065446048,-0.16828865617030386,0.2644296243176445,-0.08351545065446048,0.16828865617030386,qwen,27.900000000000034,2,8.741621082001446e-07,0.6975000000000009,1.1312569593065823e-05,True
entropy,more negative correctness correlation is better,appfr,H08,8,21,True,-0.26522306451134975,0.0685641714082911,-0.18103829166450286,0.26522306451134975,-0.0685641714082911,0.18103829166450286,qwen,20.857142857142833,2,2.9575287456449632e-05,0.49659863945578175,0.00023660229965159706,True
entropy,more negative correctness correlation is better,appfr,H10,10,11,True,-0.2331362657726897,0.06505041604721279,-0.24038943926879563,0.2331362657726897,-0.06505041604721279,0.24038943926879563,llava,11.090909090909093,2,0.003905167724273222,0.5041322314049588,0.005508914331086736,True
