metric,direction,possible_configurations,n_complete_configurations,n_excluded_configurations,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
msp,higher positive correctness correlation is better,800,655,145,0.2356217452074294,-0.0637411177649609,0.13282973428668854,0.2356217452074294,-0.0637411177649609,0.13282973428668854,qwen,534.7450381679391,2,7.613605135814969e-117,0.40820231921216726,2.2840815407444907e-116,True
pcs,higher positive correctness correlation is better,800,655,145,0.22888145720269892,-0.06205704926636288,0.12816751630147538,0.22888145720269892,-0.06205704926636288,0.12816751630147538,qwen,524.1984732824421,2,1.4850730457469853e-114,0.4001515063224749,2.9701460914939705e-114,True
deep_gini,more negative correctness correlation is better,800,655,145,-0.22781523786260072,0.07088952299013523,-0.09624078630815817,0.22781523786260072,-0.07088952299013523,0.09624078630815817,qwen,557.0961832061075,2,1.0668438846807823e-121,0.42526426198939504,4.267375538723129e-121,True
entropy,more negative correctness correlation is better,800,655,145,-0.22690844497810064,0.0764508950630708,-0.16023047401791338,0.22690844497810064,-0.0764508950630708,0.16023047401791338,qwen,573.0809160305344,2,3.6062866314430537e-125,0.4374663481149117,1.8031433157215268e-124,True
ece,lower calibration error is better,800,800,0,0.09696579530662951,0.43043250721120074,0.1813389833951386,-0.09696579530662951,-0.43043250721120074,-0.1813389833951386,qwen,816.0774999999994,2,6.180483798425558e-178,0.5100484374999996,3.7082902790553347e-177,True
mce,lower calibration error is better,800,800,0,0.2963412796434043,0.5000002777776236,0.40159760132642836,-0.2963412796434043,-0.5000002777776236,-0.40159760132642836,qwen,231.48999999999978,2,5.402380785955246e-51,0.14468124999999987,5.402380785955246e-51,True
