metric,direction,approach,history,history_frames,friedman_holm_p,model_1,model_2,n_pairs,median_oriented_difference_model1_minus_model2,wilcoxon_statistic,raw_p,rank_biserial_model1_minus_model2,descriptive_better_model,holm_p,significant_holm,significant_better_model
msp,higher positive correctness correlation is better,appfr,H22,22,0.015620670897092888,qwen,llava,11,-0.02938893136704132,32.0,0.9658203125,-0.030303030303030304,llava,0.9658203125,False,No difference
msp,higher positive correctness correlation is better,appfr,H22,22,0.015620670897092888,internvl,llava,11,-0.3463569434538956,1.0,0.001953125,-0.9696969696969697,llava,0.005859375,True,llava
msp,higher positive correctness correlation is better,appfr,H24,24,0.04944705294067866,qwen,internvl,10,0.25479049240908813,1.0,0.00390625,0.9636363636363636,qwen,0.01171875,True,qwen
msp,higher positive correctness correlation is better,appfr,H24,24,0.04944705294067866,qwen,llava,10,0.01308254043116952,26.0,0.921875,0.05454545454545454,qwen,0.921875,False,No difference
msp,higher positive correctness correlation is better,appfr,H24,24,0.04944705294067866,internvl,llava,10,-0.2926923248226519,3.0,0.009765625,-0.8909090909090909,llava,0.01953125,True,llava
msp,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,qwen,internvl,21,0.9793301519815069,0.0,9.5367431640625e-07,1.0,qwen,2.86102294921875e-06,True,qwen
msp,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,qwen,llava,21,0.018736641472977142,85.0,0.3038158416748047,0.26406926406926406,qwen,0.3038158416748047,False,No difference
msp,higher positive correctness correlation is better,appfr,H26,26,9.533061806064557e-06,internvl,llava,21,-0.9460855746459291,4.0,6.67572021484375e-06,-0.9653679653679653,llava,1.33514404296875e-05,True,llava
msp,higher positive correctness correlation is better,appfr,H28,28,0.00015250334954705283,qwen,internvl,22,0.8980884198226695,6.0,6.67572021484375e-06,0.9525691699604744,qwen,2.002716064453125e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H28,28,0.00015250334954705283,qwen,llava,22,0.01045986178217282,103.0,0.46277761459350586,0.1857707509881423,qwen,0.46277761459350586,False,No difference
msp,higher positive correctness correlation is better,appfr,H28,28,0.00015250334954705283,internvl,llava,22,-0.8160061565514702,8.0,1.1920928955078125e-05,-0.9367588932806324,llava,2.384185791015625e-05,True,llava
msp,higher positive correctness correlation is better,appfr,H30,30,5.589979758118008e-05,qwen,internvl,24,0.846796439941479,9.0,3.933906555175781e-06,0.94,qwen,1.1801719665527344e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H30,30,5.589979758118008e-05,qwen,llava,24,0.006434977639046921,117.0,0.35962629318237305,0.22,qwen,0.35962629318237305,False,No difference
msp,higher positive correctness correlation is better,appfr,H30,30,5.589979758118008e-05,internvl,llava,24,-0.7657025642579035,10.0,5.125999450683594e-06,-0.9333333333333333,llava,1.1801719665527344e-05,True,llava
msp,higher positive correctness correlation is better,appfr,H32,32,6.506698044760981e-05,qwen,internvl,23,0.8173558743511554,6.0,3.337860107421875e-06,0.9565217391304348,qwen,1.0013580322265625e-05,True,qwen
msp,higher positive correctness correlation is better,appfr,H32,32,6.506698044760981e-05,qwen,llava,23,0.02408189967754787,98.0,0.23447084426879883,0.2898550724637681,qwen,0.23447084426879883,False,No difference
msp,higher positive correctness correlation is better,appfr,H32,32,6.506698044760981e-05,internvl,llava,23,-0.747426626681728,9.0,7.867813110351562e-06,-0.9347826086956522,llava,1.5735626220703125e-05,True,llava
msp,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,qwen,internvl,23,0.2927018413677965,18.0,6.031990051269531e-05,0.8695652173913043,qwen,0.00012063980102539062,True,qwen
msp,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,qwen,llava,23,0.19791781454800822,10.0,1.0251998901367188e-05,0.927536231884058,qwen,3.075599670410156e-05,True,qwen
msp,higher positive correctness correlation is better,appod,H02,2,0.0005859374066077207,internvl,llava,23,-0.035968258624969184,122.0,0.6433901786804199,-0.11594202898550725,llava,0.6433901786804199,False,No difference
msp,higher positive correctness correlation is better,appod,H04,4,0.0006189889206191928,qwen,internvl,21,0.2614474581889351,23.0,0.0006074905395507812,0.8008658008658008,qwen,0.0018224716186523438,True,qwen
msp,higher positive correctness correlation is better,appod,H04,4,0.0006189889206191928,qwen,llava,21,0.06357516025872603,58.0,0.04599285125732422,0.49783549783549785,qwen,0.04599285125732422,True,qwen
msp,higher positive correctness correlation is better,appod,H04,4,0.0006189889206191928,internvl,llava,21,-0.12433477312088044,28.0,0.0013742446899414062,-0.7575757575757576,llava,0.0027484893798828125,True,llava
msp,higher positive correctness correlation is better,appod,H06,6,0.02278013407370439,qwen,internvl,23,0.47046282856893434,26.0,0.00025343894958496094,0.8115942028985508,qwen,0.0007603168487548828,True,qwen
msp,higher positive correctness correlation is better,appod,H06,6,0.02278013407370439,qwen,llava,23,0.08746358248217398,41.0,0.0021359920501708984,0.7028985507246377,qwen,0.0033197402954101562,True,qwen
msp,higher positive correctness correlation is better,appod,H06,6,0.02278013407370439,internvl,llava,23,-0.15005491196073328,39.0,0.0016598701477050781,-0.717391304347826,llava,0.0033197402954101562,True,llava
msp,higher positive correctness correlation is better,appod,H08,8,0.0010484793068057218,qwen,internvl,23,0.31863539754472886,22.0,0.0001277923583984375,0.8405797101449275,qwen,0.0003833770751953125,True,qwen
msp,higher positive correctness correlation is better,appod,H08,8,0.0010484793068057218,qwen,llava,23,0.07686328339520432,26.0,0.00025343894958496094,0.8115942028985508,qwen,0.0005068778991699219,True,qwen
msp,higher positive correctness correlation is better,appod,H08,8,0.0010484793068057218,internvl,llava,23,-0.35713840239097117,32.0,0.0006387233734130859,-0.7681159420289855,llava,0.0006387233734130859,True,llava
